# object_id,reference,teff,logg,[Fe/H],[C/Fe]_1D,[C/Fe]_3D 
2M16035902+0703353,a+_AAP_643_4_2020,5095,2.71,-1.34,0.09,-0.04
2M21372238+1244305,a+_AAP_643_4_2020,5062,2.86,-0.90,-0.07,-0.13
2MASSJ18082002-5104378,J.Melendez+_AAP_585_L5_2016,5440,3.00,-4.07,0.94,0.25
BD+02_3375,D.K.Lai+_ApJ_667_1185_2007,5926,4.63,-2.08,-0.04,-0.30
BD+03_740,D.K.Lai+_ApJ_681_1524_2008,6557,4.28,-2.71,0.68,0.35
BD+11_4725,B.E.Reddy+_MNRAS_367_1329_2006,5362,4.69,-0.84,0.61,0.50
BD+18_3423,B.E.Reddy+_MNRAS_367_1329_2006,5760,4.59,-0.92,0.43,0.31
BD+19_1185,J.Simmerer+_ApJ_617_1091_2004,5500,4.19,-1.09,-0.07,-0.21
BD+20_2594,B.E.Reddy+_MNRAS_367_1329_2006,5886,4.60,-0.99,0.52,0.39
BD+22_2442,B.E.Reddy+_MNRAS_367_1329_2006,5333,3.71,-0.88,0.60,0.54
BD+23_3130,D.K.Lai+_ApJ_667_1185_2007,5224,2.82,-2.42,0.26,-0.04
BD+23_3130,D.K.Lai+_ApJ_681_1524_2008,5285,2.83,-2.58,0.20,-0.12
BD+24_1676,I.U.Roederer+_AJ_147_136_2014,6140,3.75,-2.70,0.46,0.13
BD+24_1676,D.K.Lai+_ApJ_681_1524_2008,6241,3.81,-2.63,0.50,0.18
BD+25_1858,B.E.Reddy+_MNRAS_367_1329_2006,5249,4.69,-0.89,0.81,0.70
BD+26_3578,I.U.Roederer+_AJ_147_136_2014,6060,3.75,-2.60,0.30,-0.02
BD+36_1898,B.E.Reddy+_MNRAS_367_1329_2006,5798,4.62,-0.90,0.57,0.46
BD+37_1458,D.K.Lai+_ApJ_667_1185_2007,5332,3.13,-1.84,0.26,0.05
BD+44_493,V.M.Placco+_ApJ_790_34_2014,5430,3.40,-3.88,1.23,0.57
BD+44_493,H.Ito+_ApJ_698_L37_2009,5510,3.70,-3.73,1.32,0.71
BD+44_493,H.Ito+_ApJ_773_33_2013,5430,3.40,-3.83,1.35,0.71
BD+44_493,A.Arentsen+_AAP_621_A108_2019,5430,3.40,-3.83,1.35,0.71
BD+45_919,B.E.Reddy+_MNRAS_367_1329_2006,5547,4.65,-0.89,0.80,0.69
BD+46_1264,B.E.Reddy+_MNRAS_367_1329_2006,5185,4.60,-0.24,0.17,0.13
BD+46_610,B.E.Reddy+_MNRAS_367_1329_2006,5770,4.60,-0.85,0.55,0.44
BD+59_1609,B.E.Reddy+_MNRAS_367_1329_2006,5567,4.56,-0.59,0.58,0.50
BD+65_737,B.E.Reddy+_MNRAS_367_1329_2006,5415,4.64,-0.70,0.52,0.43
BD+67_1034,B.E.Reddy+_MNRAS_367_1329_2006,5305,3.74,-0.64,0.56,0.54
BD+68_394,B.E.Reddy+_MNRAS_367_1329_2006,5749,4.64,-0.94,0.49,0.37
BD+70_1218,B.E.Reddy+_MNRAS_367_1329_2006,5126,4.64,-0.43,0.63,0.57
BD+70_950,B.E.Reddy+_MNRAS_367_1329_2006,5214,4.64,-0.45,0.48,0.42
BD+73_943,B.E.Reddy+_MNRAS_367_1329_2006,5300,4.61,-0.55,0.56,0.49
BD+77_876,B.E.Reddy+_MNRAS_367_1329_2006,5208,4.62,-0.47,0.38,0.32
BD+79_22,B.E.Reddy+_MNRAS_367_1329_2006,5832,4.51,-0.92,0.39,0.27
BD+80_245,I.U.Roederer+_AJ_147_136_2014,5360,3.15,-2.04,0.22,-0.02
BD-01_2582,J.Simmerer+_ApJ_617_1091_2004,5148,2.86,-2.21,0.98,0.72
BD-01_306,J.Simmerer+_ApJ_617_1091_2004,5550,4.19,-1.13,0.03,-0.11
BD-03_2525,D.K.Lai+_ApJ_667_1185_2007,5789,3.60,-1.58,0.06,-0.11
BD-04_2862,B.E.Reddy+_MNRAS_367_1329_2006,5715,4.56,-0.62,0.54,0.46
BD-133442,D.Fabbian+_AAP_500_1143_2009,6366,3.99,-2.74,0.45,0.11
BD-13_3442,C.J.Akerman+_AAP_414_931_2004,6500,4.16,-2.61,0.31,-0.01
BD-13_3442,A.M.Amarsi+_AAP_622_L4_2019,6357,3.97,-2.64,0.32,-0.00
BS16023-046,P.Bonifacio+_AAP_501_519_2009,6364,4.50,-2.96,0.66,0.30
BS16033-008,W.Aoki+_ApJ_632_611_2005,5300,2.70,-2.84,0.61,0.25
BS16076-006,D.K.Lai+_ApJ_667_1185_2007,5614,3.51,-2.83,0.56,0.20
BS16076-006,P.Bonifacio+_AAP_501_519_2009,5199,3.00,-3.80,0.45,-0.18
BS16077-007,D.K.Lai+_ApJ_667_1185_2007,5958,3.68,-2.65,0.96,0.64
BS16077-007,D.K.Lai+_ApJ_681_1524_2008,6544,4.29,-2.72,0.69,0.36
BS16077-077,D.M.Allen+_AAP_548_A34_2012,5900,3.19,-2.05,2.39,2.15
BS16080-175,D.M.Allen+_AAP_548_A34_2012,6240,3.70,-1.86,1.94,1.71
BS16083-172,W.Aoki+_ApJ_632_611_2005,5300,3.10,-2.53,0.30,-0.01
BS16467-062,D.K.Lai+_ApJ_667_1185_2007,5219,2.80,-3.62,0.26,-0.32
BS16467-062,J.G.Cohen+_ApJ_778_56_2013,5364,3.00,-3.51,0.68,0.14
BS16467-062,D.K.Lai+_ApJ_681_1524_2008,5388,3.04,-3.75,0.57,-0.05
BS16467-062,J.G.Cohen+_ApJ_672_320_2008,5364,2.95,-3.52,0.69,0.14
BS16470-092,D.K.Lai+_ApJ_667_1185_2007,5948,3.67,-1.66,0.16,-0.05
BS16545-089,D.K.Lai+_ApJ_681_1524_2008,6500,4.25,-3.44,1.71,1.24
BS16545-089,D.Yong+_ApJ_762_26_2013,6486,3.82,-3.44,1.77,1.30
BS16547-006,D.K.Lai+_ApJ_667_1185_2007,6047,3.72,-2.26,0.61,0.33
BS16547-025,D.K.Lai+_ApJ_667_1185_2007,5197,2.74,-1.45,-0.84,-0.99
BS16547-099,D.K.Lai+_ApJ_667_1185_2007,5856,3.63,-1.17,0.16,0.06
