# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2490  1.49045E-06    -4.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     2
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   375   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  257         1.3000000000000031E+010         1.0394282275439130E-001         1.0394133605799698E-001        -1.0829831820677659E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6002490337057429E+000        -2.5999101614671378E+000        -7.3510780201510343E+001         3.6001334067532440E+000        -9.7771417817724537E-001         5.4074542769824463E+000         7.4224428906763185E-001         8.7801359025155151E-003         2.4897414646149324E-001         2.4965338488415253E-007         6.1088824361175935E-007         6.6655600113752493E+000         2.8373341125977767E+000         4.7657606620555887E-001         7.4224428886956351E-001         2.4897414664995790E-001         2.4965338511417328E-007         0.0000000000000000E+000
  258         1.3000000000000031E+010         1.0619229298826208E-001         1.0619072988516244E-001        -1.1734098422026111E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5777489836089100E+000        -2.5774130989060762E+000        -7.3155861720478441E+001         3.6015191685410972E+000        -9.6923567670453470E-001         5.3984193291950451E+000         7.4196814111295506E-001         9.0465453037516901E-003         2.4898388501495577E-001         2.4965333303326037E-007         6.1088824361261930E-007         6.6716640063553712E+000         2.8202867430743170E+000         4.6638337029240212E-001         7.4196814091486685E-001         2.4898388520317061E-001         2.4965333326240989E-007         0.0000000000000000E+000
  259         1.3000000000000031E+010         1.0914873640753424E-001         1.0914706761286597E-001        -1.2926465783102884E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5481518046043812E+000        -2.5478192699248057E+000        -7.2690981377448438E+001         3.6033402902561411E+000        -9.5807933063235795E-001         5.3865184574076430E+000         7.4159000041154988E-001         9.4099039393911801E-003         2.4899866708086299E-001         2.4965326082045854E-007         6.1088824360400391E-007         6.6796634540136841E+000         2.7978408046150935E+000         4.5301095822249626E-001         7.4159000020945187E-001         2.4899866727261694E-001         2.4965326105289958E-007         0.0000000000000000E+000
  260         1.3000000000000031E+010         1.1197104160158861E-001         1.1196926582559659E-001        -1.4070376024683230E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5198634641634783E+000        -2.5195334594502818E+000        -7.2249826906674215E+001         3.6050783530789685E+000        -9.4741128605756253E-001         5.3751217784970615E+000         7.4121882730685129E-001         9.7640994650977971E-003         2.4901564465998505E-001         2.4965318570021225E-007         6.1088824357870219E-007         6.6872612352112579E+000         2.7763572221391710E+000         4.4028049999604080E-001         7.4121882709467557E-001         2.4901564486123159E-001         2.4965318594284844E-007         0.0000000000000000E+000
  261         1.3000000000000031E+010         1.1481282156914331E-001         1.1481093045130099E-001        -1.5231115262156841E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4913373765337123E+000        -2.4910098877877447E+000        -7.1809993419221883E+001         3.6068265917054241E+000        -9.3664471949559103E-001         5.3635966298858415E+000         7.4084205515662771E-001         1.0117257388855971E-002         2.4903925888653408E-001         2.4965310218425570E-007         6.1088824357590635E-007         6.6948502950759066E+000         2.7546525014315946E+000         4.2751869029676881E-001         7.4084205494256405E-001         2.4903925908928287E-001         2.4965310242789811E-007         0.0000000000000000E+000
  262         1.3000000000000031E+010         1.1764472161177464E-001         1.1764270849617015E-001        -1.6395177488358869E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4628709634214294E+000        -2.4625456339307026E+000        -7.1375044062322758E+001         3.6085678087154527E+000        -9.2589394695950600E-001         5.3520682630240426E+000         7.4045772701232559E-001         1.0473454507072349E-002         2.4906738991264088E-001         2.4965301207913975E-007         6.1088824357570126E-007         6.7023652470629003E+000         2.7329580407130702E+000         4.1484519592806152E-001         7.4045772679733513E-001         2.4906739011597023E-001         2.4965301232273171E-007         0.0000000000000000E+000
  263         1.3000000000000031E+010         1.2062895775212087E-001         1.2062680887935939E-001        -1.7628930631001592E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4328339545927893E+000        -2.4325105551817128E+000        -7.0919375802282474E+001         3.6104022947903101E+000        -9.1454441469490033E-001         5.3398788476261680E+000         7.4003729752471981E-001         1.0860321195654979E-002         2.4910095271149957E-001         2.4965291119470422E-007         6.1088824357602578E-007         6.7102467042257992E+000         2.7100348057544039E+000         4.0152579531119753E-001         7.4003729730907075E-001         2.4910095291516471E-001         2.4965291143788140E-007         0.0000000000000000E+000
  264         1.3000000000000031E+010         1.2353484177559734E-001         1.2353255214233431E-001        -1.8839517270766361E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4035360468777252E+000        -2.4032143463818385E+000        -7.0480038444450969E+001         3.6121873017856982E+000        -9.0346547482814599E-001         5.3279546694508717E+000         7.3962190017598939E-001         1.1235973022982737E-002         2.4914069823275714E-001         2.4965280455442454E-007         6.1088824357625067E-007         6.7178583817934809E+000         2.6876300764436856E+000         3.8861125281339531E-001         7.3962189995959626E-001         2.4914069843685660E-001         2.4965280479733178E-007         0.0000000000000000E+000
  265         1.3000000000000031E+010         1.2653730970115989E-001         1.2653486388796323E-001        -2.0103213162311829E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3732066286139477E+000        -2.3728872964956054E+000        -7.0032252575540156E+001         3.6140289330143549E+000        -8.9198402815357025E-001         5.3155656035633436E+000         7.3919591823295150E-001         1.1607795859834522E-002         2.4919485733883656E-001         2.4965268452550846E-007         6.1088824357674470E-007         6.7256330592835170E+000         2.6643749010829056E+000         3.7534514512299322E-001         7.3919591801575502E-001         2.4919485754343362E-001         2.4965268476815148E-007         0.0000000000000000E+000
  266         1.3000000000000031E+010         1.2953088364021856E-001         1.2952827287918661E-001        -2.1372740313784182E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3429125570310290E+000        -2.3425954574741290E+000        -6.9589929050718169E+001         3.6158642795437275E+000        -8.8050768542085645E-001         5.3031554069291742E+000         7.3876029049540870E-001         1.1982220202414783E-002         2.4925606073375456E-001         2.4965255666294661E-007         6.1088824357751105E-007         6.7333255510810739E+000         2.6411007782424485E+000         3.6216964624455428E-001         7.3876029027740342E-001         2.4925606093886737E-001         2.4965255690536204E-007         0.0000000000000000E+000
