# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2490  1.49045E-06    -4.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     2
# --------------------------------------------------------------------------------------                            2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# number of EEPs, cols =   375   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  257         1.3500000000000061E+010         1.0215051786652152E-001         1.0214904015698600E-001        -1.0128828969181907E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6175276970718047E+000        -2.6171871214151912E+000        -7.3778194608081790E+001         3.5990815624381796E+000        -9.8424982123014726E-001         5.4142133143090501E+000         7.4212529889652101E-001         8.9043420391090866E-003         2.4896893049601676E-001         2.4965342097237760E-007         6.1088824359312928E-007         6.6609553546773412E+000         2.8502708005149597E+000         4.8426813430078119E-001         7.4212529869176447E-001         2.4896893069086379E-001         2.4965342121027062E-007         0.0000000000000000E+000
  258         1.3500000000000061E+010         1.0385959712712398E-001         1.0385806168357681E-001        -1.0815247525359124E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6004303829713615E+000        -2.6000921863919437E+000        -7.3507968343354705E+001         3.6001350954116593E+000        -9.7780823012688556E-001         5.4073490684878003E+000         7.4191316131636209E-001         9.1094792380268987E-003         2.4897593087727410E-001         2.4965338243809169E-007         6.1088824359609845E-007         6.6656017431125640E+000         2.8373195871523436E+000         4.7651376696507852E-001         7.4191316111244188E-001         2.4897593107109439E-001         2.4965338267435829E-007         0.0000000000000000E+000
  259         1.3500000000000061E+010         1.0681567615388807E-001         1.0681403621358423E-001        -1.2005660969660325E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5708348547456246E+000        -2.5705002918306810E+000        -7.3041705250471637E+001         3.6019574350813306E+000        -9.6665514535335828E-001         5.3954534349585099E+000         7.4153082540145165E-001         9.4781308420843965E-003         2.4898961518827328E-001         2.4965331260896498E-007         6.1088824359398489E-007         6.6736221768776627E+000         2.8148833741807273E+000         4.6311837743295114E-001         7.4153082519589009E-001         2.4898961538330602E-001         2.4965331284583991E-007         0.0000000000000000E+000
  260         1.3500000000000061E+010         1.0963764940148543E-001         1.0963590367462386E-001        -1.3147629559832131E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5425478490637765E+000        -2.5422160998693988E+000        -7.2599162723179873E+001         3.6036967355183078E+000        -9.5599024338639049E-001         5.3840618711937154E+000         7.4115545665663451E-001         9.8376199642086215E-003         2.4900549481110107E-001         2.4965323987238275E-007         6.1088824357518679E-007         6.6812410347448186E+000         2.7934092822886600E+000         4.5036479384930100E-001         7.4115545644336445E-001         2.4900549501329905E-001         2.4965324011676875E-007         0.0000000000000000E+000
  261         1.3500000000000061E+010         1.1245654021303081E-001         1.1245468147169377E-001        -1.4296736016737145E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5142508033479434E+000        -2.5139217347035192E+000        -7.2161185265369227E+001         3.6054325315004534E+000        -9.4531331249276485E-001         5.3726353834765783E+000         7.4077642616219630E-001         1.0194861986574570E-002         2.4902728328326751E-001         2.4965315963346221E-007         6.1088824357283840E-007         6.6887941011689520E+000         2.7718887765730473E+000         4.3767818414769633E-001         7.4077642594720428E-001         2.4902728348679495E-001         2.4965315987865654E-007         0.0000000000000000E+000
  262         1.3500000000000061E+010         1.1526915386603771E-001         1.1526717540681522E-001        -1.5450528093513663E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4859780602519748E+000        -2.4856513142446861E+000        -7.1727484639939377E+001         3.6071635244189091E+000        -9.3463892678169214E-001         5.3611918679454602E+000         7.4038941432502614E-001         1.0555629196788822E-002         2.4905352791025290E-001         2.4965307279435188E-007         6.1088824357260101E-007         6.6962833477315407E+000         2.7503521621849449E+000         4.2506323116218658E-001         7.4038941410909964E-001         2.4905352811435774E-001         2.4965307303949105E-007         0.0000000000000000E+000
  263         1.3500000000000061E+010         1.1825433516607128E-001         1.1825222241604802E-001        -1.6682253788013615E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4559320070679123E+000        -2.4556073769747950E+000        -7.1269881315015823E+001         3.6090002501567833E+000        -9.2328935166540882E-001         5.3490056943685662E+000         7.3996316853648803E-001         1.0950081050036578E-002         2.4908532184537388E-001         2.4965297467711576E-007         6.1088824357294491E-007         6.7041939039822882E+000         2.7274329197552358E+000         4.1171104238580386E-001         7.3996316831992037E-001         2.4908532204978692E-001         2.4965297492179732E-007         0.0000000000000000E+000
  264         1.3500000000000061E+010         1.2115512267104980E-001         1.2115287097657004E-001        -1.7888186983417598E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4266861144875280E+000        -2.4263633391372754E+000        -7.0829465809322429E+001         3.6107838363417999E+000        -9.1223357774525093E-001         5.3371098985583689E+000         7.3954246552441516E-001         1.1333082558674247E-002         2.4912302334865852E-001         2.4965287106413284E-007         6.1088824357317647E-007         6.7118197203848631E+000         2.7050793479285340E+000         3.9878982380645073E-001         7.3954246530711998E-001         2.4912302355347951E-001         2.4965287130850618E-007         0.0000000000000000E+000
  265         1.3500000000000061E+010         1.2413357729836466E-001         1.2413117242907822E-001        -1.9138911413744265E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3966005434395230E+000        -2.3962801933626783E+000        -7.0383249369038651E+001         3.6126125831557143E+000        -9.0084828584907828E-001         5.3248285734356955E+000         7.3911289170348282E-001         1.1711494845992442E-002         2.4917418488215837E-001         2.4965275494463322E-007         6.1088824357363704E-007         6.7195622004463393E+000         2.6820239834170945E+000         3.8559844488601475E-001         7.3911289148539816E-001         2.4917418508745393E-001         2.4965275518871879E-007         0.0000000000000000E+000
  266         1.3500000000000061E+010         1.2711341880397045E-001         1.2711085157716667E-001        -2.0399655258151033E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3664473928221605E+000        -2.3661293419818814E+000        -6.9940878641299761E+001         3.6144413762242653E+000        -8.8942929667749904E-001         5.3124847214394677E+000         7.3867205842325157E-001         1.2094067726342854E-002         2.4923244528199184E-001         2.4965263073921531E-007         6.1088824357441578E-007         6.7272503241453130E+000         2.6588716000263859E+000         3.7245135876605240E-001         7.3867205820438264E-001         2.4923244548776963E-001         2.4965263098303534E-007         0.0000000000000000E+000
  267         1.3500000000000061E+010         1.3009823414314020E-001         1.3009549498922268E-001        -2.1672003662101597E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3361883233081358E+000        -2.3358724517343923E+000        -6.9501744585010826E+001         3.6162726055006980E+000        -8.7796222047335037E-001         5.3000621943439441E+000         7.3821795466606599E-001         1.2482756435710814E-002         2.4929786032983492E-001         2.4965249832536476E-007         6.1088824357555409E-007         6.7348945916673397E+000         2.6355924480128161E+000         3.5933113967872365E-001         7.3821795444642613E-001         2.4929786053609376E-001         2.4965249856893104E-007         0.0000000000000000E+000
  268         1.3500000000000061E+010         1.3313255942532692E-001         1.3312963301500313E-001        -2.2982708968539311E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3053694818861894E+000        -2.3050565861427876E+000        -6.9061782345000196E+001         3.6181315944983652E+000        -8.6627077775771266E-001         5.2873652747692592E+000         7.3776141507916693E-001         1.2856284271958108E-002         2.4938087208049894E-001         2.4965235313641394E-007         6.1088824357711104E-007         6.7425718515336204E+000         2.6118239527191776E+000         3.4607604280120430E-001         7.3776141485888669E-001         2.4938087228715827E-001         2.4965235337959948E-007         0.0000000000000000E+000
  269         1.3500000000000061E+010         1.3623416687816831E-001         1.3623103567774633E-001        -2.4341092424324029E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2738048369352493E+000        -2.2734958886458667E+000        -6.8618750110505573E+001         3.6200292657810733E+000        -8.5428379784765762E-001         5.2743142072671176E+000         7.3729948332261630E-001         1.3215399026098236E-002         2.4948368908290836E-001         2.4965219380253781E-007         6.1088824357920289E-007         6.7503223115829840E+000         2.5874189660928870E+000         3.3261182182308202E-001         7.3729948310186666E-001         2.4948368928985293E-001         2.4965219404516627E-007         0.0000000000000000E+000
  270         1.3500000000000061E+010         1.3933314918647488E-001         1.3932980159932284E-001        -2.5711387679012423E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2421989811010414E+000        -2.2418941363152385E+000        -6.8181061931383368E+001         3.6219246051969560E+000        -8.4227154876232002E-001         5.2612033345098190E+000         7.3682648285517249E-001         1.3574645348130606E-002         2.4959744322826311E-001         2.4965202508961847E-007         6.1088824358125494E-007         6.7579952043394620E+000         2.5629278104905202E+000         3.1921900870892794E-001         7.3682648263394723E-001         2.4959744343551163E-001         2.4965202533171552E-007         0.0000000000000000E+000
