# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2490  1.49045E-06    -4.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   377   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  255         1.2000000000000051E+010         1.0291024925672632E-001         1.0290889572917782E-001        -1.0382409013630262E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6118610790665051E+000        -2.6115186372383321E+000        -7.3708721882164099E+001         3.5993893862156376E+000        -9.8203215978241409E-001         5.4124542020809674E+000         7.4305097482777349E-001         7.9789675605140518E-003         2.4896862904335199E-001         2.4965341151020050E-007         6.1088824361706982E-007         6.6621753161267971E+000         2.8464063671424435E+000         4.8218233424259799E-001         7.4305097463190406E-001         2.4896862923052898E-001         2.4965341173890093E-007         0.0000000000000000E+000
  256         1.2000000000000051E+010         1.0568736783050420E-001         1.0568592919954650E-001        -1.1490998167397978E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5841424706004243E+000        -2.5838045406762271E+000        -7.3267512746876065E+001         3.6010996314500816E+000        -9.7159334601826131E-001         5.4013568906967793E+000         7.4273232023768698E-001         8.2895239491394702E-003         2.4897672724480657E-001         2.4965335544094662E-007         6.1088824364421913E-007         6.6697552929550064E+000         2.8254489225400534E+000         4.6956259127104055E-001         7.4273232005146128E-001         2.4897672742224114E-001         2.4965335565769425E-007         0.0000000000000000E+000
  257         1.2000000000000051E+010         1.0840391645079864E-001         1.0840238935639968E-001        -1.2580372542779958E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5570031004171878E+000        -2.5566689417326343E+000        -7.2838440642280972E+001         3.6027717301696356E+000        -9.6136785836575123E-001         5.3904729111992635E+000         7.4241340748162887E-001         8.5979570148112631E-003         2.4898720693519216E-001         2.4965329498698952E-007         6.1088824365653563E-007         6.6771327979377162E+000         2.8049033685787310E+000         4.5725408647270233E-001         7.4241340729958283E-001         2.4898720710823863E-001         2.4965329519797326E-007         0.0000000000000000E+000
  258         1.2000000000000051E+010         1.1113966103946724E-001         1.1113803927377533E-001        -1.3682870932718340E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5296444568114600E+000        -2.5293134753214881E+000        -7.2409085818117177E+001         3.6044546215914446E+000        -9.5105431940650464E-001         5.3794804235200369E+000         7.4208474666520785E-001         8.9130699797898665E-003         2.4900075478666361E-001         2.4965322825154059E-007         6.1088824364765787E-007         6.6845213393601259E+000         2.7841621243374037E+000         4.4489801436606979E-001         7.4208474647948863E-001         2.4900075496298993E-001         2.4965322846559567E-007         0.0000000000000000E+000
  259         1.2000000000000051E+010         1.1409687729153026E-001         1.1409514730021686E-001        -1.4879382316850671E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.5000437767031696E+000        -2.4997155436674681E+000        -7.1947138121627120E+001         3.6062731601708515E+000        -9.3989105651117344E-001         5.3675684420156529E+000         7.4171550350831728E-001         9.2652028644501783E-003         2.4901786505902523E-001         2.4965315098324978E-007         6.1088824362525311E-007         6.6924762780037979E+000         2.7616955592858021E+000         4.3157433473676471E-001         7.4171550331356495E-001         2.4901786524382521E-001         2.4965315120628710E-007         0.0000000000000000E+000
  260         1.2000000000000051E+010         1.1691988650419391E-001         1.1691804699760142E-001        -1.6027410568114682E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4717526053984522E+000        -2.4714263005205419E+000        -7.1508927552191494E+001         3.6080085981625523E+000        -9.2921634684221666E-001         5.3561609144945610E+000         7.4135322885292920E-001         9.6081713072658156E-003         2.4903717127171765E-001         2.4965307080753806E-007         6.1088824358615756E-007         6.7000293581139081E+000         2.7401918484201762E+000         4.1889292261840405E-001         7.4135322864307451E-001         2.4903717147094639E-001         2.4965307104646308E-007         0.0000000000000000E+000
  261         1.2000000000000051E+010         1.1981021162546801E-001         1.1980825184094240E-001        -1.7212821537506088E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4427407473490375E+000        -2.4424166093781441E+000        -7.1065157648550311E+001         3.6097832261447569E+000        -9.1825967378191820E-001         5.3444265179640453E+000         7.4098124637983531E-001         9.9526673478755288E-003         2.4906465770426342E-001         2.4965298034138136E-007         6.1088824358241315E-007         6.7076947557474984E+000         2.7180964298162396E+000         4.0597162274636356E-001         7.4098124616774075E-001         2.4906465790536075E-001         2.4965298058173225E-007         0.0000000000000000E+000
  262         1.2000000000000051E+010         1.2268301578656615E-001         1.2268092916893339E-001        -1.8398665518456073E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.4138635833681334E+000        -2.4135412581390847E+000        -7.0627559882024173E+001         3.6115461272263527E+000        -9.0734689395465817E-001         5.3327181916100965E+000         7.4060261002612415E-001         1.0299171849271165E-002         2.4909678955658177E-001         2.4965288330945919E-007         6.1088824358227657E-007         6.7152642258555897E+000         2.6960671959688476E+000         3.9317396912752389E-001         7.4060260981311865E-001         2.4909678975826649E-001         2.4965288354976964E-007         0.0000000000000000E+000
  263         1.2000000000000051E+010         1.2566524735661316E-001         1.2566302187185774E-001        -1.9636718635362096E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3838457565322275E+000        -2.3835249672501058E+000        -7.0175995662437671E+001         3.6133758632446602E+000        -8.9599745257331942E-001         5.3205219006988678E+000         7.4019451621497234E-001         1.0669951313645717E-002         2.4913410390320490E-001         2.4965277655612570E-007         6.1088824358256011E-007         6.7230839673443850E+000         2.6731354933352760E+000         3.7992410826316836E-001         7.4019451600127151E-001         2.4913410410528386E-001         2.4965277679611242E-007         0.0000000000000000E+000
  264         1.2000000000000051E+010         1.2858194048435784E-001         1.2857957038748724E-001        -2.0857174672308968E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3544375309571377E+000        -2.3541181100984039E+000        -6.9738944926868044E+001         3.6151638836083824E+000        -8.8486938051321917E-001         5.3085375269324322E+000         7.3979037154163274E-001         1.1030015348709184E-002         2.4917818454134766E-001         2.4965266349531293E-007         6.1088824358277060E-007         6.7306656581395972E+000         2.6506222651386895E+000         3.6702372493335811E-001         7.3979037132715320E-001         2.4917818474391668E-001         2.4965266373511061E-007         0.0000000000000000E+000
  265         1.2000000000000051E+010         1.3163533773445593E-001         1.3163280508413805E-001        -2.2148381476820191E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.3235909420048078E+000        -2.3232737688543175E+000        -6.9287830488134944E+001         3.6170328411348693E+000        -8.7318400109002947E-001         5.2959199558090786E+000         7.3937200754066579E-001         1.1387862751705388E-002         2.4923870113922802E-001         2.4965253517499351E-007         6.1088824358333589E-007         6.7385086225126551E+000         2.6269433149391999E+000         3.5359912648760483E-001         7.3937200732535313E-001         2.4923870134234355E-001         2.4965253541457705E-007         0.0000000000000000E+000
  266         1.2000000000000051E+010         1.3465803651728955E-001         1.3465533342538280E-001        -2.3436536968782259E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2929979939612437E+000        -2.2926829119622592E+000        -6.8845607075036412E+001         3.6188820867683793E+000        -8.6158601833526771E-001         5.2833690501576775E+000         7.3894742013461889E-001         1.1745005023313736E-002         2.4930614627362804E-001         2.4965239955606817E-007         6.1088824358407588E-007         6.7462103785232372E+000         2.6034109973317827E+000         3.4036336755731977E-001         7.3894741991844515E-001         2.4930614647733057E-001         2.4965239979550469E-007         0.0000000000000000E+000
  267         1.2000000000000051E+010         1.3764177971561484E-001         1.3763889875244767E-001        -2.4718093449817376E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2627416613864142E+000        -2.2624285104506665E+000        -6.8413452098036146E+001         3.6207066332715048E+000        -8.5010694505410145E-001         5.2709187563549289E+000         7.3851756422071180E-001         1.2100693064436688E-002         2.4938031414642209E-001         2.4965225702812800E-007         6.1088824358495647E-007         6.7537503678393112E+000         2.5800891109674744E+000         3.2735184083415236E-001         7.3851756400364155E-001         2.4938031435075833E-001         2.4965225726749337E-007         0.0000000000000000E+000
  268         1.2000000000000051E+010         1.4071706349998631E-001         1.4071398630783208E-001        -2.6057473030114898E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.2314999049436586E+000        -2.2311897189989858E+000        -6.7974640485848624E+001         3.6225844109535421E+000        -8.3824162219680021E-001         5.2580183225060289E+000         7.3808162637367225E-001         1.2442056997406643E-002         2.4947488806048787E-001         2.4965209961850908E-007         6.1088824358643539E-007         6.7614256498206196E+000         2.5559489803645246E+000         3.1402595710598313E-001         7.3808162615589845E-001         2.4947488826532399E-001         2.4965209985759789E-007         0.0000000000000000E+000
  269         1.2000000000000051E+010         1.4389334184515867E-001         1.4389004807424516E-001        -2.7460620130106379E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1991686289329189E+000        -2.1988625959375168E+000        -6.7528216631835207E+001         3.6245213136274437E+000        -8.2594978953923193E-001         5.2446205190383308E+000         7.3763702382870822E-001         1.2769583567570061E-002         2.4959196403527079E-001         2.4965192612198652E-007         6.1088824358860644E-007         6.7692543096060502E+000         2.5309051782105692E+000         3.0034836395878722E-001         7.3763702361045702E-001         2.4959196424044527E-001         2.4965192636055478E-007         0.0000000000000000E+000
  270         1.2000000000000051E+010         1.4805933766683688E-001         1.4805579404599556E-001        -2.9379435460007157E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1643883952050182E+000        -2.1640859547694671E+000        -6.7096445325198886E+001         3.6264824815486545E+000        -8.1248200851770525E-001         5.2306878979327678E+000         7.3724421723712341E-001         1.2993997827758607E-002         2.4976035636659560E-001         2.4965137642747829E-007         6.1088824359762152E-007         6.7769513069034062E+000         2.5042037444603755E+000         2.8740364734709534E-001         7.3724421701901544E-001         2.4976035657165180E-001         2.4965137666502016E-007         0.0000000000000000E+000
  271         1.2000000000000051E+010         1.5347084643211434E-001         1.5346700762449467E-001        -3.1950564410075116E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.1264687700816047E+000        -2.1261708602729472E+000        -6.6679169953472140E+001         3.6284770679739982E+000        -7.9751136880668438E-001         5.2160619276650442E+000         7.3693599320924186E-001         1.3059616125814744E-002         2.5000296209631506E-001         2.4965032299758143E-007         6.1088824361563791E-007         6.7845404975264767E+000         2.4753750128834557E+000         2.7528292170674157E-001         7.3693599299202961E-001         2.5000296230073460E-001         2.4965032323348518E-007         0.0000000000000000E+000
  272         1.2000000000000051E+010         1.5954947291972432E-001         1.5954528220244546E-001        -3.4877043157267879E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.0846070947094848E+000        -2.0843179703692742E+000        -6.6229430205683030E+001         3.6306533145340341E+000        -7.8093302424069666E-001         5.1999540985422517E+000         7.3664614860225874E-001         1.3031101870125237E-002         2.5032132095879367E-001         2.4964904599892321E-007         6.1088824363841780E-007         6.7927498400531201E+000         2.4435370632195799E+000         2.6219429758110085E-001         7.3664614838653175E-001         2.5032132116218009E-001         2.4964904623240080E-007         0.0000000000000000E+000
  273         1.2000000000000051E+010         1.6871400221875077E-001         1.6870935078508495E-001        -3.9394796506010266E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.0346098062088411E+000        -2.0343329251537146E+000        -6.5792294170386612E+001         3.6329457691350817E+000        -7.6051928919246881E-001         5.1820261579622926E+000         7.3657044956198403E-001         1.2608535838217571E-002         2.5081958603072768E-001         2.4964648296886393E-007         6.1088824368278772E-007         6.8010477848674320E+000         2.4062263201994742E+000         2.5063416207451372E-001         7.3657044934918003E-001         2.5081958623216671E-001         2.4964648319888303E-007         0.0000000000000000E+000
  274         1.2000000000000051E+010         1.7775985873832287E-001         1.7775471451018565E-001        -4.3881396039836169E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.9853935520780623E+000        -1.9851326420862319E+000        -6.5363039205268706E+001         3.6351841554416042E+000        -7.4038793474012499E-001         5.1643664160198277E+000         7.3654439781667880E-001         1.2084983369371381E-002         2.5136919024466131E-001         2.4964380026068468E-007         6.1088824372709326E-007         6.8091911180321336E+000         2.3694503987068791E+000         2.3926170975710406E-001         7.3654439760616541E-001         2.5136919044485184E-001         2.4964380048798444E-007         0.0000000000000000E+000
  275         1.2000000000000051E+010         1.8701457122570533E-001         1.8700888365168600E-001        -4.8498151929179713E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.9351907370299155E+000        -1.9349501999294976E+000        -6.4925670880448507E+001         3.6374504480764251E+000        -7.1981911248569364E-001         5.1463535707308523E+000         7.3657119044196095E-001         1.1432588016754747E-002         2.5199479297185096E-001         2.4964090698313638E-007         6.1088824377312336E-007         6.8174802536117500E+000         2.3319052014821229E+000         2.2766633838814063E-001         7.3657119023329864E-001         2.5199479317135431E-001         2.4964090720827742E-007         0.0000000000000000E+000
  276         1.2000000000000051E+010         1.9618220007853679E-001         1.9617600130064541E-001        -5.2957986971004534E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.8923760165174404E+000        -1.8921559589708790E+000        -6.4541851924596131E+001         3.6391059924052951E+000        -7.0172284088719583E-001         5.1311137793087553E+000         7.3663648770497070E-001         1.0796344467594768E-002         2.5256573925751818E-001         2.4963635363484104E-007         6.1088824385194761E-007         6.8247358681751029E+000         2.2994754421533359E+000         2.1817264623251809E-001         7.3663648749802135E-001         2.5256573945631589E-001         2.4963635385845398E-007         0.0000000000000000E+000
  277         1.2000000000000051E+010         2.0496580400757097E-001         2.0495908199297644E-001        -5.7246979259074804E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.8515803585305501E+000        -1.8513821316230401E+000        -6.4175242991775434E+001         3.6406677154075053E+000        -6.8444845789817155E-001         5.1166123276183466E+000         7.3673504216775387E-001         1.0109347182102194E-002         2.5315418207969331E-001         2.4963171161592769E-007         6.1088824393090220E-007         6.8316557369698199E+000         2.2685640140423673E+000         2.0913304355944112E-001         7.3673504196209616E-001         2.5315418227822528E-001         2.4963171183858856E-007         0.0000000000000000E+000
