# Object	Reference	RA	Decl	Teff	logg	Metallicity	metal	[C/Fe]	[Eu/Fe]	[Ba/Fe]	[Fe/H]
2M02593571-1731458	a+,AAP, 643, 4, 2020			4472	2.09	-0.96	-0.96	0			-0.92
2M06572697+5543115	a+,AAP, 643, 4, 2020			4776	2.22	-1.21	-1.21	-0.61			-1.22
2M13535604+4437076	T.Masseron+,ApJ, 904, L1, 2020	13 53 56.0537786088	+44 37 07.696366212	5143	2.5	-1.07	-1.07	0.83	0.48	1.95	-1.07
2M15053060+4211466	a+,AAP, 643, 4, 2020			4689	1.72	-1.52	-1.52	-0.21			-1.56
2M15532396-3509322	a+,AAP, 643, 4, 2020			4766	2.12	-1.53	-1.53	-0.13			-1.58
2M15535622+2237419	a+,AAP, 643, 4, 2020			4284	1.27	-1.26	-1.26	-0.35			-1.29
2M16035902+0703353	a+,AAP, 643, 4, 2020			5095	2.71	-1.34	-1.34	0.09			-1.34
2M16055435+3003432	a+,AAP, 643, 4, 2020			4469	1.34	-1.65	-1.65	-0.26			-1.68
2M16102218-2158014	a+,AAP, 643, 4, 2020			4342	1.55	-1.24	-1.24	-0.6			-1.26
2M16112935-2000538	a+,AAP, 643, 4, 2020			4871	2.35	-1.2	-1.2	-0.11			-1.26
2M16282719-0050428	a+,AAP, 643, 4, 2020			4433	1.95	-1.05	-1.05	0.14			-1.07
2M16443329+3624504	a+,AAP, 643, 4, 2020			4816	2.06	-1.36	-1.36	0.25			-1.44
2M17254242-1331201	a+,AAP, 643, 4, 2020			4485	1.99	-0.97	-0.97	-0.39			-0.99
2M17313399-2640506	a+,AAP, 643, 4, 2020			3792	0.62	-0.93	-0.93	-0.07			-0.98
2M17425767-2803437	a+,AAP, 643, 4, 2020			4569	1.96	-0.85	-0.85	-0.05			-0.94
2M17431262-2843363	a+,AAP, 643, 4, 2020			4149	0.16	-0.72	-0.72	-0.27			-0.76
2M17461523-3407127	a+,AAP, 643, 4, 2020			4559	1.93	-1.22	-1.22	-0.14			-1.3
2M17475763-2913591	a+,AAP, 643, 4, 2020			3837	0.06	-1.04	-1.04	-0.4			-0.98
2M17480799-2712083	a+,AAP, 643, 4, 2020			3913	1.11	-0.74	-0.74	-0.16			-0.87
2M17484544-2915516	a+,AAP, 643, 4, 2020			4241	1.53	-0.82	-0.82	0.11			-0.9
2M18035017-2552334	a+,AAP, 643, 4, 2020			4190	1.59	-0.88	-0.88	-0.27			-0.9
2M18041915-3703227	a+,AAP, 643, 4, 2020			3808	0.33	-1.07	-1.07	-0.06			-0.99
2M18490114-3042332	a+,AAP, 643, 4, 2020			4426	1.79	-0.96	-0.96	-0.17			-0.97
2M18524618-2520372	a+,AAP, 643, 4, 2020			4518	2.07	-1.02	-1.02	-0.22			-1.02
2M19010991-2121082	a+,AAP, 643, 4, 2020			4368	1.39	-1.33	-1.33	-0.34			-1.34
2M21372238+1244305	a+,AAP, 643, 4, 2020			5062	2.86	-0.93	-0.93	-0.07			-0.9
2M22015198-1141479	a+,AAP, 643, 4, 2020			4269	1.57	-1.25	-1.25	-0.32			-1.23
2M22045404-1148287	T.Masseron+,ApJ, 904, L1, 2020	22 04 54.0447500184	-11 48 28.717892748	4578	1.64	-1.26	-1.26	0.35	0.42	1.62	-1.26
2MASSJ00114258+0109386	C.L.Kielty+,MNRAS, 471, 404, 2017	00 11 42.59	+01 09 38.7	4165	-0.14	-2.18	-2.18	0.91			-2.18
2MASSJ02031860-7930291	H.R.Jacobson+,ApJ, 807, 171, 2015	02 03 18.60	-79 30 29.1	4720	1.1	-3.03	-3.03	-0.52	0.36	0.07	-3.03
2MASSJ02121851+4923143	C.L.Kielty+,MNRAS, 471, 404, 2017	02 12 18.51	+49 23 14.4	4593	1.61	-1.82	-1.82	0.89			-1.82
2MASSJ03084611-4747083	H.R.Jacobson+,ApJ, 807, 171, 2015	03 08 46.11	-47 47 08.3	5071	2.15	-1.56	-1.56	0.2	0.55	0.18	-1.56
2MASSJ03265389+0202281	M.K.Mardini+,ApJ, 882, 27, 2019	03 26 53.88	+02 02 28.1	5080	2.03	-3.11	-3.11	0.24	-0.01	-0.55	-3.11
2MASSJ05352696-0510173	C.L.Kielty+,MNRAS, 471, 404, 2017	05 35 26.97	-05 10 17.3	4591	2.34	-1.9	-1.9	0.87			-1.9
2MASSJ09380777-0600392	H.R.Jacobson+,ApJ, 807, 171, 2015	09 38 07.77	-06 00 39.2	5890	2.65	-2.68	-2.68	<1	<0.76	<-0.9	-2.68
2MASSJ09544277+5246414	E.M.Holmbeck+,ApJ, 859, L24, 2018	09 54 42.77	+52 46 41.4	4340	0.41	-2.99	-2.99	-0.5	1.28	0.35	-2.99
2MASSJ10242264-2904203	H.R.Jacobson+,ApJ, 807, 171, 2015	10 24 22.64	-29 04 20.3	4720	1.3	-3.13	-3.13	-0.05	<1.21	-0.41	-3.13
