# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[O/Fe]	[C/Fe]
2MASSJ00114258+0109386	C.L.Kielty+,MNRAS, 471, 404, 2017	00 11 42.59	+01 09 38.7	4165	-0.14	-2.18	-2.18	0.17	0.91
2MASSJ12473823-0814340	C.L.Kielty+,MNRAS, 471, 404, 2017	12 47 38.24	-08 14 34.1	4317	0.79	-2.24	-2.24	1.05	0.87
2MASSJ15312547+4220551	C.L.Kielty+,MNRAS, 471, 404, 2017	15 31 25.48	+42 20 55.1	4068	-0.15	-2.08	-2.08	0.03	0.83
2MASSJ16334467-1343201	C.L.Kielty+,MNRAS, 471, 404, 2017	16 33 44.67	-13 43 20.1	4288	0.23	-2.1	-2.1	0.37	1.01
2MASSJ21330683+1209406	C.L.Kielty+,MNRAS, 471, 404, 2017	21 33 06.83	+12 09 40.6	4220	0.39	-2.01	-2.01	0.47	0.98
BD+01_2341p	E.Arnone+,AAP, 430, 507, 2005			6260	3.8		-2.88		
BD+01_2341p	C.Charbonnel+,AAP, 442, 961, 2005			6367	3.85	-2.79	-2.79		
BD+01_2341p	J.A.Rich+,ApJ, 701, 1519, 2009			6402	4.24	-2.67	-2.67	1.09	
BD+02_3375	R.G.Gratton+,AAP, 404, 187, 2003	17 39 45.59	+02 24 59.6	5917	4.19	-2.32	-2.38	0.82	
BD+02_3375	D.K.Lai+,ApJ, 667, 1185, 2007	17 39 45.59	+02 24 59.6	5926	4.63	-2.25	-2.08		-0.04
BD+02_3375	A.M.Boesgaard+,AJ, 117, 492, 1999	17 39 45.59	+02 24 59.6	5949	4.17	-2.3	-2.13	1.01	
BD+02_3375	J.Melendez+,ApJ, 642, 1082, 2006	17 39 45.59	+02 24 59.6	6045	4.18	-2	-2.24	0.98	
BD+02_3375	J.A.Rich+,ApJ, 701, 1519, 2009	17 39 45.59	+02 24 59.6	5800	4.07	-2.39	-2.39	0.72	
