z, rho, P, T 
 4.990000e+08 2.182821e-10 4.466295e+01 3.014362e+03   
4.980000e+08 2.344978e-10 5.196749e+01 3.278203e+03   
4.970000e+08 2.573848e-10 5.686590e+01 3.262009e+03   
4.960000e+08 2.868628e-10 6.457784e+01 3.322751e+03   
4.950000e+08 3.150467e-10 7.125475e+01 3.335054e+03   
4.940000e+08 3.475996e-10 8.016555e+01 3.402588e+03   
4.930000e+08 3.815848e-10 8.875957e+01 3.433038e+03   
4.920000e+08 4.202310e-10 9.928912e+01 3.492226e+03   
4.910000e+08 4.614181e-10 1.100710e+02 3.528966e+03   
4.900000e+08 5.077394e-10 1.226924e+02 3.580607e+03   
4.890000e+08 5.576058e-10 1.360619e+02 3.619656e+03   
4.880000e+08 6.132514e-10 1.513075e+02 3.665491e+03   
4.870000e+08 6.735509e-10 1.677596e+02 3.704442e+03   
4.860000e+08 7.404231e-10 1.862413e+02 3.745978e+03   
4.850000e+08 8.131901e-10 2.063752e+02 3.783612e+03   
4.840000e+08 8.935080e-10 2.287935e+02 3.821809e+03   
4.830000e+08 9.811043e-10 2.533230e+02 3.857562e+03   
4.820000e+08 1.077463e-09 2.804867e+02 3.892999e+03   
4.810000e+08 1.182699e-09 3.102660e+02 3.926713e+03   
4.800000e+08 1.298231e-09 3.431336e+02 3.959721e+03   
4.790000e+08 1.424525e-09 3.791952e+02 3.991297e+03   
4.780000e+08 1.563020e-09 4.189112e+02 4.021942e+03   
4.770000e+08 1.714513e-09 4.624933e+02 4.051249e+03   
4.760000e+08 1.880548e-09 5.104183e+02 4.079466e+03   
4.750000e+08 2.062265e-09 5.630027e+02 4.106379e+03   
4.740000e+08 2.261409e-09 6.207721e+02 4.132111e+03   
4.730000e+08 2.479509e-09 6.841581e+02 4.156504e+03   
4.720000e+08 2.718577e-09 7.537558e+02 4.179603e+03   
4.710000e+08 2.980526e-09 8.301097e+02 4.201303e+03   
4.700000e+08 3.267690e-09 9.139053e+02 4.221646e+03   
4.690000e+08 3.582413e-09 1.005823e+03 4.240630e+03   
4.680000e+08 3.927421e-09 1.106678e+03 4.258357e+03   
4.670000e+08 4.305517e-09 1.217307e+03 4.274892e+03   
4.660000e+08 4.719841e-09 1.338664e+03 4.290363e+03   
4.650000e+08 5.173677e-09 1.471760e+03 4.304888e+03   
4.640000e+08 5.670625e-09 1.617717e+03 4.318625e+03   
4.630000e+08 6.214479e-09 1.777733e+03 4.331728e+03   
4.620000e+08 6.809383e-09 1.953138e+03 4.344378e+03   
4.610000e+08 7.459752e-09 2.145365e+03 4.356755e+03   
4.600000e+08 8.170344e-09 2.355976e+03 4.369022e+03   
4.590000e+08 8.946242e-09 2.586648e+03 4.381319e+03   
4.580000e+08 9.792899e-09 2.839201e+03 4.393766e+03   
4.570000e+08 1.071616e-08 3.115604e+03 4.406474e+03   
4.560000e+08 1.172232e-08 3.417986e+03 4.419524e+03   
4.550000e+08 1.281812e-08 3.748646e+03 4.432976e+03   
4.540000e+08 1.401075e-08 4.110047e+03 4.446868e+03   
4.530000e+08 1.530793e-08 4.504843e+03 4.461227e+03   
4.520000e+08 1.671784e-08 4.935880e+03 4.476059e+03   
4.510000e+08 1.824925e-08 5.406207e+03 4.491360e+03   
4.500000e+08 1.991148e-08 5.919090e+03 4.507117e+03   
4.490000e+08 2.171441e-08 6.478029e+03 4.523317e+03   
4.480000e+08 2.366847e-08 7.086761e+03 4.539956e+03   
4.470000e+08 2.578467e-08 7.749277e+03 4.557033e+03   
4.460000e+08 2.807448e-08 8.469810e+03 4.574549e+03   
4.450000e+08 3.054986e-08 9.252842e+03 4.592515e+03   
4.440000e+08 3.322305e-08 1.010308e+04 4.610950e+03   
4.430000e+08 3.610663e-08 1.102547e+04 4.629887e+03   
4.420000e+08 3.921346e-08 1.202523e+04 4.649372e+03   
4.410000e+08 4.255646e-08 1.310779e+04 4.669462e+03   
4.400000e+08 4.614856e-08 1.427880e+04 4.690231e+03   
4.390000e+08 5.000251e-08 1.554411e+04 4.711762e+03   
4.380000e+08 5.413075e-08 1.690976e+04 4.734152e+03   
4.370000e+08 5.854513e-08 1.838187e+04 4.757497e+03   
4.360000e+08 6.325677e-08 1.996670e+04 4.781908e+03   
4.350000e+08 6.827538e-08 2.167047e+04 4.807509e+03   
4.340000e+08 7.360930e-08 2.349941e+04 4.834449e+03   
4.330000e+08 7.926525e-08 2.545972e+04 4.862877e+03   
4.320000e+08 8.524816e-08 2.755745e+04 4.892946e+03   
4.310000e+08 9.156068e-08 2.979850e+04 4.924822e+03   
4.300000e+08 9.820280e-08 3.218846e+04 4.958679e+03   
4.290000e+08 1.051717e-07 3.473267e+04 4.994706e+03   
4.280000e+08 1.124615e-07 3.743604e+04 5.033099e+03   
4.270000e+08 1.200627e-07 4.030313e+04 5.074078e+03   
4.260000e+08 1.279619e-07 4.333793e+04 5.117870e+03   
4.250000e+08 1.361419e-07 4.654393e+04 5.164732e+03   
4.240000e+08 1.445803e-07 4.992388e+04 5.214948e+03   
4.230000e+08 1.532491e-07 5.347987e+04 5.268869e+03   
4.220000e+08 1.621128e-07 5.721290e+04 5.326916e+03   
4.210000e+08 1.711286e-07 6.112350e+04 5.389645e+03   
4.200000e+08 1.802416e-07 6.521080e+04 5.457796e+03   
4.190000e+08 1.893817e-07 6.947295e+04 5.532435e+03   
4.180000e+08 1.984560e-07 7.390561e+04 5.615102e+03   
4.170000e+08 2.073362e-07 7.850127e+04 5.708259e+03   
4.160000e+08 2.158215e-07 8.324201e+04 5.816240e+03   
4.150000e+08 2.235982e-07 8.809347e+04 5.946491e+03   
4.140000e+08 2.302489e-07 9.300292e+04 6.109226e+03   
4.130000e+08 2.354122e-07 9.792242e+04 6.313012e+03   
4.120000e+08 2.390128e-07 1.028309e+05 6.557677e+03   
4.110000e+08 2.413124e-07 1.077455e+05 6.833267e+03   
4.100000e+08 2.428136e-07 1.127065e+05 7.123368e+03   
4.090000e+08 2.440516e-07 1.177592e+05 7.411698e+03   
4.080000e+08 2.454248e-07 1.229392e+05 7.687155e+03   
4.070000e+08 2.471712e-07 1.282695e+05 7.944085e+03   
4.060000e+08 2.494023e-07 1.337651e+05 8.180908e+03   
4.050000e+08 2.521448e-07 1.394345e+05 8.398457e+03   
4.040000e+08 2.553740e-07 1.452828e+05 8.598825e+03   
4.030000e+08 2.590536e-07 1.513124e+05 8.784179e+03   
4.020000e+08 2.631520e-07 1.575249e+05 8.956321e+03   
4.010000e+08 2.676394e-07 1.639216e+05 9.116824e+03   
4.000000e+08 2.724889e-07 1.705038e+05 9.267066e+03   
3.990000e+08 2.776841e-07 1.772734e+05 9.408057e+03   
3.980000e+08 2.832175e-07 1.842338e+05 9.540594e+03   
3.970000e+08 2.890819e-07 1.913888e+05 9.665406e+03   
3.960000e+08 2.952691e-07 1.987424e+05 9.783163e+03   
3.950000e+08 3.017715e-07 2.062987e+05 9.894497e+03   
3.940000e+08 3.085830e-07 2.140625e+05 9.999967e+03   
3.930000e+08 3.157007e-07 2.220398e+05 1.010005e+04   
3.920000e+08 3.231226e-07 2.302376e+05 1.019523e+04   
3.910000e+08 3.308457e-07 2.386639e+05 1.028596e+04   
3.900000e+08 3.388677e-07 2.473271e+05 1.037270e+04   
3.890000e+08 3.471848e-07 2.562357e+05 1.045589e+04   
3.880000e+08 3.557926e-07 2.653974e+05 1.053590e+04   
3.870000e+08 3.646866e-07 2.748195e+05 1.061309e+04   
3.860000e+08 3.738619e-07 2.845088e+05 1.068777e+04   
3.850000e+08 3.833152e-07 2.944714e+05 1.076021e+04   
3.840000e+08 3.930446e-07 3.047122e+05 1.083056e+04   
3.830000e+08 4.030494e-07 3.152383e+05 1.089904e+04   
3.820000e+08 4.133280e-07 3.260567e+05 1.096583e+04   
3.810000e+08 4.238772e-07 3.371747e+05 1.103113e+04   
3.800000e+08 4.346940e-07 3.485983e+05 1.109508e+04   
3.790000e+08 4.457812e-07 3.603343e+05 1.115779e+04   
3.780000e+08 4.571429e-07 3.723899e+05 1.121932e+04   
3.770000e+08 4.687811e-07 3.847736e+05 1.127977e+04   
3.760000e+08 4.806993e-07 3.974931e+05 1.133923e+04   
3.750000e+08 4.929006e-07 4.105563e+05 1.139775e+04   
3.740000e+08 5.053829e-07 4.239709e+05 1.145547e+04   
3.730000e+08 5.181440e-07 4.377440e+05 1.151249e+04   
3.720000e+08 5.311884e-07 4.518819e+05 1.156880e+04   
3.710000e+08 5.445211e-07 4.663915e+05 1.162441e+04   
