z, rho, P, T 
 4.975000e+08 2.575155e-10 5.292570e+01 2.998622e+03   
4.950000e+08 3.156922e-10 7.469731e+01 3.499850e+03   
4.925000e+08 3.981572e-10 9.319743e+01 3.457994e+03   
4.900000e+08 5.105086e-10 1.234447e+02 3.581859e+03   
4.875000e+08 6.404614e-10 1.579215e+02 3.654600e+03   
4.850000e+08 8.117382e-10 2.052854e+02 3.759818e+03   
4.825000e+08 1.021631e-09 2.636626e+02 3.847155e+03   
4.800000e+08 1.289511e-09 3.394861e+02 3.934583e+03   
4.775000e+08 1.623004e-09 4.348200e+02 4.014273e+03   
4.750000e+08 2.043574e-09 5.561500e+02 4.087025e+03   
4.725000e+08 2.570698e-09 7.091736e+02 4.152183e+03   
4.700000e+08 3.233732e-09 9.023444e+02 4.208146e+03   
4.675000e+08 4.067609e-09 1.146068e+03 4.256423e+03   
4.650000e+08 5.114923e-09 1.452838e+03 4.296489e+03   
4.625000e+08 6.429829e-09 1.839707e+03 4.331953e+03   
4.600000e+08 8.072480e-09 2.325511e+03 4.363908e+03   
4.575000e+08 1.012128e-08 2.936381e+03 4.396233e+03   
4.550000e+08 1.266212e-08 3.700333e+03 4.429207e+03   
4.525000e+08 1.580791e-08 4.656089e+03 4.464985e+03   
4.500000e+08 1.968095e-08 5.844470e+03 4.502458e+03   
4.475000e+08 2.443746e-08 7.320671e+03 4.542733e+03   
4.450000e+08 3.023990e-08 9.141818e+03 4.584773e+03   
4.425000e+08 3.728433e-08 1.138281e+04 4.630058e+03   
4.400000e+08 4.575758e-08 1.411756e+04 4.678375e+03   
4.375000e+08 5.586410e-08 1.743872e+04 4.732035e+03   
4.350000e+08 6.776239e-08 2.142910e+04 4.791617e+03   
4.325000e+08 8.158828e-08 2.618696e+04 4.860328e+03   
4.300000e+08 9.736973e-08 3.178524e+04 4.939740e+03   
4.275000e+08 1.150645e-07 3.830559e+04 5.033743e+03   
4.250000e+08 1.344881e-07 4.578838e+04 5.144007e+03   
4.225000e+08 1.554435e-07 5.428955e+04 5.272950e+03   
4.200000e+08 1.777803e-07 6.387774e+04 5.420630e+03   
4.175000e+08 2.003207e-07 7.446751e+04 5.608020e+03   
4.150000e+08 2.176580e-07 8.541683e+04 5.949122e+03   
4.125000e+08 2.262963e-07 9.664222e+04 6.544029e+03   
4.100000e+08 2.306089e-07 1.082680e+05 7.234361e+03   
4.075000e+08 2.359464e-07 1.207515e+05 7.854067e+03   
4.050000e+08 2.437012e-07 1.343331e+05 8.377798e+03   
4.025000e+08 2.536988e-07 1.490859e+05 8.824946e+03   
4.000000e+08 2.656543e-07 1.650019e+05 9.212161e+03   
3.975000e+08 2.794715e-07 1.820860e+05 9.549000e+03   
3.950000e+08 2.951131e-07 2.003674e+05 9.842955e+03   
